NUMEMP;TIPCOL;NUMCAD;DATALT;SEQALT;CODMOT;VALSAL;TIPSAL;PERREA
1;1;271;01/11/2013;1;20;2.332,60;1;0
1;1;271;01/11/2014;1;5;2.507,54;1;0
1;1;271;18/09/2013;1;1;2.180,00;1;0
1;1;272;01/01/2021;1;3;12.601,26;1;0
1;1;272;01/01/2022;1;3;13.650,00;1;0
1;1;272;01/01/2023;1;3;14.617,63;1;0
1;1;272;01/03/2016;1;3;8.744,68;1;0
1;1;272;01/03/2017;1;3;9.487,67;1;0
1;1;272;01/05/2019;1;3;12.051,05;1;0
1;1;272;01/05/2025;1;3;17.272,68;1;0
1;1;272;01/06/2014;1;20;7.373,13;1;0
1;1;272;01/09/2019;1;27;12.305,31;1;0
1;1;272;01/09/2021;1;3;13.112,64;1;0
1;1;272;01/09/2022;1;3;14.197,77;1;0
1;1;272;01/09/2023;1;3;15.132,81;1;0
1;1;272;01/09/2024;1;4;15.702,44;1;0
1;1;272;01/11/2013;1;5;6.373,13;1;0
1;1;272;01/11/2014;1;20;7.926,11;1;0
1;1;272;01/11/2015;1;20;8.480,93;1;0
1;1;272;01/11/2016;1;3;9.181,91;1;0
1;1;272;01/11/2017;1;3;9.661,29;1;0
1;1;272;01/11/2018;1;1;10.042,54;1;0
1;1;272;02/08/2020;1;3;12.305,31;1;0
1;1;272;04/05/2020;1;28;9.228,98;1;0
1;1;272;10/09/2007;1;1;5.956,00;1;0
1;1;273;01/03/2016;1;3;7.470,47;1;0
1;1;273;01/06/2013;1;5;4.538,51;1;0
1;1;273;01/07/2015;1;20;6.771,17;1;0
1;1;273;01/10/2013;1;20;4.538,71;1;0
1;1;273;01/11/2013;1;20;4.856,41;1;0
1;1;273;01/11/2014;1;4;5.220,64;1;0
1;1;273;01/11/2015;1;20;7.245,15;1;0
1;1;273;01/11/2016;1;3;7.843,99;1;0
1;1;273;04/04/2011;1;1;3.751,00;1;0
1;1;274;01/11/2013;1;20;2.332,60;1;0
1;1;274;10/10/2013;1;1;2.180,00;1;0
1;1;275;01/01/2021;1;3;11.584,82;1;0
1;1;275;01/01/2022;1;3;12.633,56;1;0
1;1;275;01/03/2016;1;3;9.720,65;1;0
1;1;275;01/03/2017;1;3;10.485,65;1;0
1;1;275;01/09/2019;1;27;11.288,87;1;0
1;1;275;01/09/2021;1;3;12.096,20;1;0
1;1;275;01/09/2022;1;3;13.181,33;1;0
1;1;275;01/11/2013;1;20;8.190,36;1;0
1;1;275;01/11/2014;1;20;8.804,63;1;0
1;1;275;01/11/2015;1;20;9.420,95;1;0
1;1;275;01/11/2016;1;3;10.170,65;1;0
1;1;275;01/11/2017;1;3;10.653,36;1;0
1;1;275;01/11/2018;1;3;11.034,61;1;0
