NUMEMP;TIPCOL;NUMCAD;DATDEM;CAUDEM;DATAVI;DATPAG;QTDIND;QTDREA;QTDSSL;QTDFCA;SALFAV;SALFGT;COMRES;REPVAG;SALBAS;AVIPRE;JORSEM;SABCOM;QTDIAC;QTDRAC;TERQUI;ATEOBI;PROTRA
2;1;899;10/07/2024;2;10/07/2024;19/07/2024;0;0;0;0;4570,93;0,00;SGO - REQUISICAO N.: 202407023800054;N;4570,93;1;1;1;0;0;0;;
2;1;900;05/08/2022;4;25/07/2022;12/08/2022;0;0;0;0;6200,00;0,00;;N;6200,00;4;1;1;0;0;0;;
2;1;902;22/10/2021;14;22/10/2021;29/10/2021;0;0;0;0;4000,00;0,00;SGO - REQUISICAO N.: 202110023800141;N;4000,00;1;1;1;0;0;0;;
2;1;903;02/02/2022;2;02/02/2022;11/02/2022;0;0;0;0;5000,00;0,00;SGO - REQUISICAO N.: 202202023800015;N;5000,00;1;1;1;0;0;0;;
2;1;904;19/01/2022;2;19/01/2022;28/01/2022;0;0;0;0;4500,00;0,00;SGO - REQUISICAO N.: 202201023800101;N;4500,00;1;1;1;0;0;0;;
2;1;906;18/03/2022;4;14/03/2022;25/03/2022;0;0;0;0;5000,00;0,00;;N;5000,00;4;1;1;0;0;0;;
2;1;908;20/09/2024;2;20/09/2024;27/09/2024;0;0;0;0;11151,64;0,00;SGO - REQUISICAO N.: 202409023800183;N;11151,64;1;1;1;0;0;0;;
2;1;910;19/01/2022;2;19/01/2022;28/01/2022;0;0;0;0;4581,00;0,00;SGO - REQUISICAO N.: 202201023800102;N;4581,00;1;1;1;0;0;0;;
2;1;911;18/05/2023;2;19/04/2023;26/05/2023;0;0;0;0;2467,31;0,00;;N;2467,31;1;1;1;0;0;0;;
2;1;912;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;6452,88;0,00;SGO - REQUISICAO N.: 202405023800023;N;6452,88;1;1;1;0;0;0;;
2;1;913;01/07/2022;4;27/06/2022;08/07/2022;0;0;0;0;6500,00;0,00;;N;6500,00;5;1;1;0;0;0;;
2;1;914;31/05/2023;2;02/05/2023;30/05/2023;0;0;0;0;6689,58;0,00;;N;6689,58;1;1;1;0;0;0;;
2;1;915;22/07/2022;4;06/07/2022;29/07/2022;0;0;0;0;6662,50;0,00;SGO - REQUISICAO N.: 202207023800210;N;6662,50;4;1;1;0;0;0;;
2;1;916;01/04/2022;4;10/03/2022;08/04/2022;0;0;0;0;2720,00;0,00;;N;2720,00;4;1;1;0;0;0;;
2;1;917;07/10/2022;4;14/09/2022;14/10/2022;0;0;0;0;7145,83;0,00;SGO - REQUISICAO N.: 202210023800038;N;7145,83;4;1;1;0;0;0;;
2;1;920;21/06/2023;0;21/06/2023;30/06/2023;0;0;0;0;1320,00;0,00;SGO - REQUISICAO N.: 202307023800040;N;1320,00;1;1;1;0;0;0;;
2;1;921;07/04/2025;2;07/04/2025;16/04/2025;1;0;0;0;8740,72;0,00;SGO - REQUISICAO N.: 202504023800025;N;8740,72;1;1;1;0;0;0;;
2;1;923;21/07/2023;0;21/07/2023;28/07/2023;0;0;0;0;1320,00;0,00;SGO - REQUISICAO N.: 202307023800110;N;1320,00;1;1;1;0;0;0;;
2;1;925;19/12/2022;2;19/12/2022;28/12/2022;0;0;0;0;6025,00;0,00;SGO - REQUISICAO N.: 202212023800079;N;6025,00;1;1;1;0;0;0;;
2;1;926;15/07/2022;4;21/06/2022;22/07/2022;0;0;0;0;3536,40;0,00;SGO - REQUISICAO N.: 202207023800198;N;3536,40;4;1;1;0;0;0;;
2;1;927;19/12/2022;2;19/12/2022;28/12/2022;0;0;0;0;5522,92;0,00;SGO - REQUISICAO N.: 202212023800078;N;5522,92;1;1;1;0;0;0;;
2;1;929;03/04/2024;0;03/04/2024;12/04/2024;0;0;0;0;0,00;0,00;SGO - REQUISICAO N.: 202404023800014;N;0,00;1;1;1;0;0;0;;
2;1;930;17/08/2022;2;17/08/2022;26/08/2022;0;0;0;0;2745,23;0,00;SGO - REQUISICAO N.: 202208023800175;N;2745,23;1;1;1;0;0;0;;
2;1;931;14/02/2023;2;14/02/2023;23/02/2023;0;0;0;0;4041,57;0,00;SGO - REQUISICAO N.: 202302023800065;N;4041,57;1;1;1;0;0;0;;
2;1;933;02/05/2023;4;20/04/2023;11/05/2023;0;0;0;0;3500,00;0,00;SGO - REQUISICAO N.: 202305023800004;N;3500,00;4;1;1;0;0;0;;
2;1;934;08/07/2024;4;26/06/2024;17/07/2024;0;0;0;0;5225,00;0,00;SGO - REQUISICAO N.: 202407023800048;N;5225,00;1;1;1;0;0;0;;
2;1;935;11/04/2023;4;03/04/2023;20/04/2023;0;0;0;0;2717,00;0,00;SGO - REQUISICAO N.: 202304023800053;N;2717,00;4;1;1;0;0;0;;
2;1;937;18/08/2022;2;18/08/2022;26/08/2022;0;0;0;0;5000,00;0,00;SGO - REQUISICAO N.: 202208023800177;N;5000,00;1;1;1;0;0;0;;
2;1;938;01/06/2022;14;01/06/2022;10/06/2022;0;0;0;0;6000,00;0,00;SGO - REQUISICAO N.: 202206023800018;N;6000,00;1;1;1;0;0;0;;
2;1;939;03/05/2024;2;04/04/2024;10/05/2024;0;0;0;0;5206,25;0,00;SGO - REQUISICAO N.: 202405023800021;N;5206,25;1;1;1;0;0;0;;
2;1;940;07/12/2023;2;07/12/2023;07/12/2023;0;0;0;0;0,00;0,00;;N;0,00;;1;1;0;0;0;;
