NUMEMP;TIPCOL;NUMCAD;DATALT;ESTCAR;CODCAR;CODMOT;;;;;;;;;;
1;1;318;01/08/2019;1;7238;23;;;284;06/07/2009;27218;;;284;27218;27218
1;1;318;05/01/2015;1;7239;1;;;285;02/01/2014;7227;;;285;#N/D;7227
1;1;319;01/11/2022;1;27216;5;;;286;10/07/2006;7111;;;286;7111;7111
1;1;319;01/03/2020;1;7238;5;;;287;08/08/2013;7239;;;287;#N/D;7239
1;1;319;10/03/2015;1;7239;1;;;288;19/06/2013;27217;;;288;27217;27217
1;1;321;01/10/2023;1;27218;23;;;289;09/08/2007;7204;;;289;#N/D;7204
1;1;321;01/03/2020;1;7204;23;;;290;13/08/2007;27225;;;290;27225;27225
1;1;321;01/04/2015;1;7205;1;;;291;11/09/2013;7205;;;291;#N/D;7205
1;1;322;01/03/2020;1;7238;4;;;292;10/12/2012;7206;;;292;#N/D;7206
1;1;322;06/04/2015;1;7239;1;;;293;09/08/2007;7259;;;293;7259;7259
1;1;328;02/07/2015;1;5207;22;;;294;04/12/2012;7211;;;294;7211;7211
1;1;328;01/07/2015;1;1;1;;;295;01/09/2009;6201;;;295;6201;6201
1;1;342;01/01/2015;1;7204;14;;;296;06/08/2007;7210;;;296;7210;7210
1;1;342;04/10/2010;1;7205;1;;;297;11/09/2012;7239;;;297;7239;7239
1;1;352;01/05/2018;1;7205;4;;;298;02/01/2004;4208;;;298;4208;4208
1;1;352;01/11/2016;1;7206;1;;;299;02/07/2014;27217;;;299;27217;27217
1;1;358;01/05/2025;1;6201;4;;;300;18/08/2014;7212;;;300;#N/D;7212
1;1;358;01/01/2024;1;27218;4;;;301;10/09/2014;8225;;;301;#N/D;8225
1;1;358;02/03/2017;1;7204;1;;;302;17/10/2014;7261;;;302;#N/D;7261
1;1;359;01/10/2023;1;27218;23;;;303;03/11/2014;7206;;;303;#N/D;7206
1;1;359;04/05/2017;1;7204;1;;;304;03/11/2014;8225;;;304;#N/D;8225
1;1;366;01/01/2024;1;27225;23;;;305;10/11/2014;7212;;;305;#N/D;7212
1;1;366;16/10/2017;1;7205;1;;;306;10/11/2014;7206;;;306;#N/D;7206
1;1;368;01/10/2023;1;27217;23;;;307;10/11/2014;8202;;;307;#N/D;8202
1;1;368;17/10/2017;1;7239;1;;;308;03/12/2014;7232;;;308;7232;7232
1;1;369;01/10/2023;1;27216;23;;;309;05/12/2014;7238;;;309;#N/D;7238
1;1;369;19/03/2015;1;7238;1;;;310;08/12/2014;7204;;;310;#N/D;7204
1;1;380;01/01/2024;1;27225;23;;;311;10/12/2014;7327;;;311;#N/D;7327
1;1;380;24/10/2018;1;7205;1;;;312;15/12/2014;7256;;;312;#N/D;7256
1;1;389;01/08/2019;1;11;4;;;313;15/12/2014;7204;;;313;#N/D;7204
1;1;389;01/11/2018;1;7240;1;;;314;18/12/2014;27226;;;314;27226;27226
1;1;394;01/01/2024;1;27225;23;;;315;18/12/2014;7205;;;315;#N/D;7205
1;1;394;01/11/2018;1;7205;1;;;316;18/12/2014;7205;;;316;#N/D;7205
1;1;400;01/08/2019;1;17;23;;;317;05/01/2015;7204;;;317;#N/D;7204
1;1;400;05/11/2018;1;7212;1;;;318;05/01/2015;27216;;;318;27216;27216
1;1;403;01/01/2024;1;27225;23;;;319;10/03/2015;27216;;;319;27216;27216
1;1;403;01/07/2021;1;7205;23;;;320;19/03/2015;7239;;;320;#N/D;7239
1;1;403;05/11/2018;1;7206;1;;;321;01/04/2015;27218;;;321;27218;27218
1;1;404;01/05/2025;1;6201;4;;;322;06/04/2015;7238;;;322;7238;7238
1;1;404;01/10/2023;1;27218;4;;;323;04/05/2015;7206;;;323;#N/D;7206
1;1;404;01/08/2019;1;7204;23;;;324;08/05/2015;7232;;;324;#N/D;7232
1;1;404;05/11/2018;1;7205;1;;;325;19/05/2015;7206;;;325;#N/D;7206
1;1;407;01/01/2024;1;7113;23;;;326;02/06/2015;7256;;;326;#N/D;7256
1;1;407;05/11/2018;1;7206;1;;;327;22/06/2015;7206;;;327;#N/D;7206
1;1;410;01/01/2024;1;27227;23;;;328;01/07/2015;5207;;;328;5207;5207
1;1;410;01/11/2018;1;7110;23;;;329;01/07/2015;7228;;;329;#N/D;7228
1;1;410;06/04/2017;1;7204;1;;;330;01/07/2015;9401;;;330;#N/D;9401
1;1;411;01/01/2024;1;27225;23;;;331;01/07/2015;7211;;;331;#N/D;7211
1;1;411;08/11/2018;1;7205;1;;;332;01/07/2015;7231;;;332;#N/D;7231
1;1;415;01/10/2023;1;27212;23;;;333;01/07/2015;7205;;;333;#N/D;7205
1;1;415;12/11/2018;1;27208;1;;;334;01/07/2015;4207;;;334;#N/D;4207
1;1;419;01/08/2022;1;7204;4;;;335;01/07/2015;7238;;;335;#N/D;7238
1;1;419;13/11/2018;1;7205;1;;;336;01/07/2015;9401;;;336;#N/D;9401
1;1;420;01/07/2019;1;12;8;;;337;01/07/2015;7236;;;337;#N/D;7236
1;1;420;14/11/2018;1;4;1;;;338;03/08/2015;8201;;;338;#N/D;8201
1;1;423;01/10/2023;1;27212;23;;;339;10/09/2015;8202;;;339;#N/D;8202
1;1;423;01/02/2019;1;27208;23;;;340;03/11/2015;7205;;;340;#N/D;7205
1;1;423;19/11/2018;1;7205;1;;;341;03/11/2015;7236;;;341;#N/D;7236
1;1;425;01/10/2023;1;27217;23;;;342;04/10/2010;7204;;;342;7204;7204
1;1;425;03/12/2018;1;7239;1;;;343;05/09/2016;2;;;343;#N/D;2
1;1;426;01/01/2024;1;27225;23;;;344;05/09/2016;2;;;344;#N/D;2
1;1;426;03/12/2018;1;7205;1;;;345;19/05/2008;9999;;;345;#N/D;9999
1;1;429;01/05/2025;1;27225;4;;;346;20/01/2009;7225;;;346;#N/D;7225
1;1;429;01/01/2024;1;7113;4;;;347;20/01/2009;7121;;;347;#N/D;7121
1;1;429;04/12/2018;1;7206;1;;;348;15/09/2000;9999;;;348;#N/D;9999
1;1;430;01/10/2023;1;27218;23;;;349;15/10/2007;9999;;;349;#N/D;9999
1;1;430;04/12/2018;1;7204;1;;;350;18/08/2008;9999;;;350;#N/D;9999
1;1;431;01/10/2023;1;27218;23;;;351;10/10/2016;3;;;351;#N/D;3
1;1;431;04/12/2018;1;7204;1;;;352;01/11/2016;7205;;;352;7205;7205
1;1;432;01/10/2023;1;27218;23;;;353;01/02/2017;7239;;;353;#N/D;7239
1;1;432;04/12/2018;1;7204;23;;;354;01/02/2017;7205;;;354;#N/D;7205
1;1;432;04/12/2018;1;7205;1;;;355;01/02/2017;7205;;;355;#N/D;7205
1;1;433;01/10/2023;1;27218;23;;;356;01/02/2017;7239;;;356;#N/D;7239
1;1;433;01/08/2019;1;7204;23;;;357;06/02/2017;7206;;;357;#N/D;7206
1;1;433;04/12/2018;1;7205;1;;;358;02/03/2017;6201;;;358;6201;6201
1;1;435;01/12/2019;1;22;4;;;359;04/05/2017;27218;;;359;27218;27218
1;1;435;01/07/2019;1;13;4;;;360;04/05/2017;7205;;;360;#N/D;7205
1;1;435;06/12/2018;1;6205;1;;;361;15/05/2017;7239;;;361;#N/D;7239
1;1;436;01/10/2023;1;27217;23;;;362;05/06/2017;2;;;362;#N/D;2
1;1;436;01/02/2020;1;7239;23;;;363;06/06/2017;7239;;;363;#N/D;7239
1;1;436;18/12/2018;1;7241;1;;;364;07/02/2017;7206;;;364;#N/D;7206
1;1;437;01/08/2019;1;15;4;;;365;05/10/2017;2;;;365;#N/D;2
1;1;437;01/07/2019;1;12;4;;;366;16/10/2017;27225;;;366;27225;27225
1;1;437;02/01/2019;1;4;1;;;367;17/10/2017;9302;;;367;#N/D;9302
1;1;438;01/10/2023;1;27217;23;;;368;17/10/2017;27217;;;368;27217;27217
1;1;438;02/01/2019;1;11;1;;;369;19/03/2015;27216;;;369;27216;27216
1;1;440;01/11/2022;1;27217;4;;;371;28/05/2018;7239;;;371;#N/D;7239
1;1;440;04/02/2019;1;7240;1;;;373;11/06/2018;7206;;;373;#N/D;7206
1;1;451;02/01/2024;1;27217;4;;;374;03/09/2018;2;;;374;#N/D;2
1;1;451;01/01/2024;1;27224;4;;;375;03/09/2018;7205;;;375;#N/D;7205
1;1;451;20/05/2019;1;7240;1;;;376;01/10/2018;7239;;;376;#N/D;7239
1;1;457;01/01/2024;1;27225;23;;;377;22/10/2018;4201;;;377;#N/D;4201
1;1;457;01/10/2015;1;7205;1;;;378;22/10/2018;7206;;;378;#N/D;7206
1;1;458;01/01/2024;1;27225;23;;;379;29/10/2018;4302;;;379;#N/D;4302
1;1;458;01/10/2015;1;7205;1;;;380;24/10/2018;27225;;;380;27225;27225
1;1;459;01/07/2019;1;7204;8;;;381;24/10/2018;27208;;;381;#N/D;27208
1;1;459;01/01/2015;1;7259;8;;;382;25/10/2018;7205;;;382;#N/D;7205
1;1;459;09/08/2007;1;7204;1;;;383;29/10/2018;27208;;;383;#N/D;27208
1;1;462;01/12/2019;1;12;23;;;384;25/10/2018;7206;;;384;#N/D;7206
1;1;462;18/07/2019;1;4;1;;;385;01/11/2018;7205;;;385;#N/D;7205
1;1;464;01/10/2023;1;27217;23;;;387;01/11/2018;7239;;;387;#N/D;7239
1;1;464;01/08/2019;1;7239;1;;;388;01/11/2018;7240;;;388;#N/D;7240
1;1;466;01/10/2023;1;27217;23;;;389;01/11/2018;11;;;389;11;11
1;1;466;19/08/2019;1;7239;1;;;390;01/11/2018;7239;;;390;#N/D;7239
1;1;469;01/12/2019;1;21;23;;;391;01/11/2018;7239;;;391;#N/D;7239
1;1;469;01/10/2019;1;16;1;;;393;01/11/2018;7205;;;393;#N/D;7205
1;1;470;01/10/2023;1;27217;23;;;394;01/11/2018;27225;;;394;27225;27225
1;1;470;01/10/2019;1;7239;1;;;395;01/11/2018;7240;;;395;#N/D;7240
1;1;471;01/01/2024;1;27225;23;;;396;05/11/2018;7239;;;396;#N/D;7239
1;1;471;07/10/2019;1;7205;1;;;400;05/11/2018;17;;;400;17;17
1;1;474;01/01/2024;1;27225;23;;;401;05/11/2018;7239;;;401;#N/D;7239
1;1;474;21/10/2019;1;7205;1;;;402;05/11/2018;7206;;;402;#N/D;7206
